"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9100DNLP","DNLP","DNL","Dunlop Rail Station","","U",241000,649400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CMTHN","CMTHN","CMN","Carmarthen Rail Station","","U",241280,219710,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100MILKNPK","MILKNPK","MIN","Milliken Park Rail Station","","U",241400,662000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100STEWRTN","STEWRTN","STT","Stewarton Rail Station","","U",241780,646060,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100RANNOCH","RANNOCH","RAN","Rannoch Rail Station","","U",242260,757890,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100KILMRNK","KILMRNK","KMK","Kilmarnock Rail Station","","U",242717,638224,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100GUNISLK","GUNISLK","GSL","Gunnislake Rail Station","","U",242750,70830,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100PENYCHN","PENYCHN","BPC","Penychain Rail Station","","U",242800,336500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100SASH","SASH","STS","Saltash Rail Station","","U",243120,58720,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100JOHNSTN","JOHNSTN","JHN","Johnstone Rail Station","","U",243300,663000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CALSTCK","CALSTCK","CSK","Calstock Rail Station","","U",243428,68775,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100BISHPTN","BISHPTN","BPT","Bishopton Rail Station","","U",243769,670509,"2003-11-04T00:00:00","2014-11-11T18:24:34",1,"rev"
"9100BEREALS","BEREALS","BAS","Bere Alston Rail Station","","U",244000,67400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BOWLING","BOWLING","BWG","Bowling Rail Station","","U",244300,673700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100STBDXVR","STBDXVR","SBV","St Budeaux Victoria Road Rail Station","","U",244645,58080,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev"
"9100STBDXFR","STBDXFR","SBF","St Budeaux Ferry Road Rail Station","","U",244685,58010,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev"
"9100PMBRYBP","PMBRYBP","PBY","Pembrey & Burry Port Rail Station","","U",244700,200700,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100KEYHAM","KEYHAM","KEY","Keyham Rail Station","","U",245160,56715,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev"
"9100BEREFRS","BEREFRS","BFE","Bere Ferrers Rail Station","","U",245230,63545,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev"
"9100DOCKYDP","DOCKYDP","DOC","Dockyard (Plymouth) Rail Station","","U",245398,55850,"2005-04-04T00:00:00","2010-10-06T16:42:54",2,"rev"
"9100DEVNPRT","DEVNPRT","DPT","Devonport Rail Station","","U",245755,55435,"2003-11-04T00:00:00","2010-10-06T16:42:54",2,"rev"
"9100KLPTRCK","KLPTRCK","KPT","Kilpatrick Rail Station","","U",246800,672900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PSLYSTJ","PSLYSTJ","PYJ","Paisley St James Rail Station","","U",247200,664800,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PLYMTH","PLYMTH","PLY","Plymouth Rail Station","","U",247700,55300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100NEILSTN","NEILSTN","NEI","Neilston Rail Station","","U",247900,657080,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PSLYCAN","PSLYCAN","PCN","Paisley Canal Rail Station","","U",248300,663420,"2005-04-04T00:00:00","2011-08-22T17:03:04",2,"rev"
"9100PSLYGST","PSLYGST","PYG","Paisley Gilmour Street Rail Station","","U",248304,664230,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100DALMUIR","DALMUIR","DMR","Dalmuir Rail Station","","U",248420,671420,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CRICCTH","CRICCTH","CCC","Criccieth Rail Station","","U",249660,338010,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100SINGER","SINGER","SIN","Singer Rail Station","","U",249728,670900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
